Sense_siRNA_Gibbs_Free_Energy,Antisense_siRNA_Gibbs_Free_Energy,LaRosa_Gibbs_Free_Energy
-4.9,-16.17,-4.9
-5.28,-20.44,-5.28
-5.7,-26.35,-5.7
-6.89,-27.3,-6.89
-10.16,-31.87,-10.16
-9.77,-33.02,-9.77
-6.27,-28.34,-6.27
-7.88,-22.36,-7.88
-7.78,-27.31,-7.78
-6.78,-27.39,-6.78
-4.26,-26.53,-4.26
-4.25,-27.02,-4.25
-9.98,-29.8,-9.98
-7.28,-25.19,-7.28
-10.37,-32.91,-10.37
-8.54,-34.41,-8.54
-9.95,-25.65,-9.95
-15.07,-28.2,-15.07
-13.98,-30.72,-13.98
-12.29,-28.7,-12.29
-6.91,-27.91,-6.91
-7.09,-30.03,-7.09
-4.44,-27.9,-4.44
-8.24,-31.0,-8.24
-8.72,-27.92,-8.72
-6.5,-31.37,-6.5
-5.56,-30.81,-5.56
-5.57,-28.79,-5.57
-5.9,-27.49,-5.9
-6.3,-30.83,-6.3
-6.34,-29.25,-6.34
-6.42,-25.96,-6.42
-6.78,-25.73,-6.78
-6.58,-25.27,-6.58
-6.82,-25.86,-6.82
-9.78,-29.82,-9.78
-10.12,-26.87,-10.12
-10.07,-28.69,-10.07
-10.09,-31.3,-10.09
-10.09,-31.65,-10.09
-7.14,-33.46,-7.14
-6.85,-32.88,-6.85
-9.67,-39.26,-9.67
-5.51,-26.95,-5.51
-7.92,-30.47,-7.92
-8.26,-33.87,-8.26
-4.85,-31.09,-4.85
-7.02,-29.62,-7.02
-4.3,-29.07,-4.3
-6.14,-28.27,-6.14
-4.38,-31.0,-4.38
-4.86,-27.18,-4.86
-4.91,-25.91,-4.91
-9.75,-28.02,-9.75
-5.64,-27.0,-5.64
-6.72,-28.68,-6.72
-10.21,-28.74,-10.21
-13.56,-32.27,-13.56
-9.91,-29.91,-9.91
-10.05,-30.44,-10.05
-11.44,-34.37,-11.44
-10.4,-34.83,-10.4
-6.44,-34.0,-6.44
-7.39,-33.64,-7.39
-13.09,-31.46,-13.09
-6.85,-25.13,-6.85
-8.54,-27.21,-8.54
-7.32,-35.56,-7.32
-5.3,-23.84,-5.3
-6.55,-35.98,-6.55
-7.73,-36.6,-7.73
-8.09,-36.63,-8.09
-5.97,-38.72,-5.97
-10.07,-32.75,-10.07
-10.07,-32.3,-10.07
-8.45,-30.48,-8.45
-10.21,-30.46,-10.21
-8.89,-29.95,-8.89
-7.42,-29.33,-7.42
-5.3,-23.14,-5.3
-7.71,-32.42,-7.71
-7.56,-31.84,-7.56
-7.64,-29.27,-7.64
-7.68,-27.37,-7.68
-6.99,-25.46,-6.99
-2.56,-21.66,-2.56
-8.81,-26.08,-8.81
-11.27,-22.56,-11.27
-10.88,-23.96,-10.88
-15.2,-22.42,-15.2
-9.77,-32.83,-9.77
-15.26,-26.5,-15.26
-11.6,-21.64,-11.6
-8.31,-23.8,-8.31
-8.75,-28.88,-8.75
-6.57,-27.19,-6.57
-5.2,-22.91,-5.2
-9.41,-27.97,-9.41
-9.41,-27.83,-9.41
-8.65,-31.92,-8.65
