siRNA,mRNA,efficacy
Huesken_A1,BD135193,0.462
Huesken_A2,BD135193,0.384
Huesken_A3,BD135193,0.514
Huesken_A4,BD135193,0.364
Huesken_A5,BD135193,0.522
Huesken_A6,BD135193,0.442
Huesken_A7,BD135193,0.441
Huesken_A8,BD135193,0.436
Huesken_A9,BD135193,0.591
Huesken_A10,BD135193,0.511
Huesken_A11,BD135193,0.555
Huesken_A12,BD135193,0.547
Huesken_A13,BD135193,0.44
Huesken_A14,BD135193,0.651
Huesken_A15,BD135193,0.759
Huesken_A16,BD135193,0.624
Huesken_A17,BD135193,0.858
Huesken_A18,BD135193,0.849
Huesken_A19,BD135193,0.383
Huesken_A20,BD135193,0.537
Huesken_A21,BD135193,0.832
Huesken_A22,BD135193,0.684
Huesken_A23,BD135193,0.736
Huesken_A24,BD135193,0.83
Huesken_A25,BD135193,0.389
Huesken_A26,BD135193,0.757
Huesken_A27,BD135193,0.552
Huesken_A28,BD135193,0.773
Huesken_A29,BD135193,0.707
Huesken_A30,BD135193,0.518
Huesken_A31,BD135193,0.753
Huesken_A32,BD135193,0.817
Huesken_A33,BD135193,0.794
Huesken_A34,BD135193,0.753
Huesken_A35,BD135193,0.836
Huesken_A36,BD135193,0.76
Huesken_A37,BD135193,0.423
Huesken_A38,BD135193,0.788
Huesken_A39,BD135193,0.871
Huesken_A40,BD135193,0.761
Huesken_A41,BD135193,0.821
Huesken_A42,BD135193,0.72
Huesken_A43,BD135193,0.863
Huesken_A44,BD135193,0.471
Huesken_A45,BD135193,0.868
Huesken_A46,BD135193,0.776
Huesken_A47,BD135193,0.849
Huesken_A48,BD135193,0.87
Huesken_A49,BD135193,0.544
Huesken_A50,BD135193,0.856
Huesken_A51,BD135193,0.835
Huesken_A52,BD135193,0.746
Huesken_A53,BD135193,0.825
Huesken_A54,BD135193,0.849
Huesken_A55,BD135193,0.754
Huesken_A56,BD135193,0.83
Huesken_A57,BD135193,0.928
Huesken_A58,BD135193,0.616
Huesken_A59,BD135193,0.825
Huesken_A60,BD135193,0.808
Huesken_A61,BD135193,0.804
Huesken_A62,BD135193,0.723
Huesken_A63,BD135193,0.597
Huesken_A64,BD135193,0.757
Huesken_A65,BD135193,0.887
Huesken_A66,BD135193,0.688
Huesken_A67,BD135193,0.79
Huesken_A68,NM_004359,0.627
Huesken_A69,NM_004359,0.69
Huesken_A70,NM_004359,0.827
Huesken_A71,NM_004359,0.893
Huesken_A72,NM_004359,0.372
Huesken_A73,NM_004359,0.517
Huesken_A74,NM_004359,0.336
Huesken_A75,NM_004359,0.268
Huesken_A76,NM_004359,0.255
Huesken_A77,NM_004359,0.737
Huesken_A78,NM_004359,0.59
Huesken_A79,NM_004359,0.652
Huesken_A80,NM_004359,0.524
Huesken_A81,NM_004359,0.534
Huesken_A82,NM_004359,0.43
Huesken_A83,NM_004359,0.584
Huesken_A84,NM_004359,0.349
Huesken_A85,NM_004359,0.766
Huesken_A86,NM_004359,0.743
Huesken_A87,NM_004359,0.565
Huesken_A88,NM_004359,0.412
Huesken_A89,NM_004359,0.829
Huesken_A90,NM_004359,0.364
Huesken_A91,NM_004359,0.794
Huesken_A92,NM_004359,0.552
Huesken_A93,NM_004359,0.459
Huesken_A94,NM_004359,0.682
Huesken_A95,NM_004359,0.7
Huesken_A96,NM_004359,0.232
Huesken_A97,NM_004359,0.584
Huesken_A98,NM_004359,0.423
Huesken_A99,NM_004359,0.813
Huesken_A100,NM_004359,0.449
Huesken_A101,NM_004359,0.721
Huesken_A102,NM_004359,0.722
Huesken_A103,NM_004359,0.578
Huesken_A104,NM_004359,0.726
Huesken_A105,NM_004359,0.393
Huesken_A106,NM_004359,0.254
Huesken_A107,NM_004359,0.442
Huesken_A108,NM_004359,0.251
Huesken_A109,NM_004359,0.367
Huesken_A110,NM_004359,0.659
Huesken_A111,NM_004359,0.449
Huesken_A112,NM_004359,0.58
Huesken_A113,NM_004359,0.511
Huesken_A114,NM_004359,0.298
Huesken_A115,NM_004359,0.598
Huesken_A116,NM_004359,0.737
Huesken_A117,NM_004359,0.417
Huesken_A118,NM_004359,0.74
Huesken_A119,NM_004359,0.727
Huesken_A120,NM_004359,0.643
Huesken_A121,NM_004359,0.755
Huesken_A122,NM_004359,0.673
Huesken_A123,NM_004359,0.443
Huesken_A124,NM_004359,0.476
Huesken_A125,NM_003340,0.683
Huesken_A126,NM_003340,0.924
Huesken_A127,NM_003340,0.82
Huesken_A128,NM_003340,0.624
Huesken_A129,NM_003340,0.862
Huesken_A130,NM_003340,0.445
Huesken_A131,NM_003340,0.565
Huesken_A132,NM_003340,0.958
Huesken_A133,NM_003340,0.422
Huesken_A134,NM_003340,0.952
Huesken_A135,NM_003340,0.945
Huesken_A136,NM_003340,0.984
Huesken_A137,NM_003340,0.961
Huesken_A138,NM_003340,0.236
Huesken_A139,NM_003340,0.27
Huesken_A140,NM_003340,0.642
Huesken_A141,NM_003340,0.306
Huesken_A142,NM_003340,0.806
Huesken_A143,NM_003340,0.92
Huesken_A144,NM_003340,0.897
Huesken_A145,NM_003340,0.845
Huesken_A146,NM_003340,0.903
Huesken_A147,NM_003340,1.0
Huesken_A148,NM_003340,0.556
Huesken_A149,NM_003340,0.433
Huesken_A150,NM_003340,0.981
Huesken_A151,NM_003340,0.792
Huesken_A152,NM_003340,0.952
Huesken_A153,NM_003340,0.996
Huesken_A154,NM_003340,0.974
Huesken_A155,NM_003340,0.576
Huesken_A156,NM_003340,0.32
Huesken_A157,NM_003340,0.762
Huesken_A158,NM_003340,0.931
Huesken_A159,NM_003340,0.488
Huesken_A160,NM_003340,0.744
Huesken_A161,NM_003340,0.7
Huesken_A162,NM_003340,0.833
Huesken_A163,NM_003340,0.684
Huesken_A164,NM_003340,0.866
Huesken_A165,NM_003340,0.83
Huesken_A166,NM_003340,0.809
Huesken_A167,NM_003340,0.644
Huesken_A168,NM_003340,0.945
Huesken_A169,NM_003340,0.631
Huesken_A170,NM_003340,0.876
Huesken_A171,NM_003340,0.949
Huesken_A172,NM_003340,0.999
Huesken_A173,NM_003340,0.85
Huesken_A174,NM_003340,0.623
Huesken_A175,NM_003340,0.762
Huesken_A176,NM_003340,0.923
Huesken_A177,NM_003340,0.554
Huesken_A178,NM_003340,1.0
Huesken_A179,NM_003340,0.995
Huesken_A180,NM_003340,0.8
Huesken_A181,NM_003340,0.977
Huesken_A182,NM_003340,0.486
Huesken_A183,NM_003340,0.444
Huesken_A184,NM_003340,0.641
Huesken_A185,NM_003340,0.52
Huesken_A186,NM_003340,0.352
Huesken_A187,NM_003340,0.758
Huesken_A188,NM_003340,0.602
Huesken_A189,NM_003340,1.0
Huesken_A190,NM_003340,0.853
Huesken_A191,NM_003340,0.949
Huesken_A192,NM_003340,0.907
Huesken_A193,NM_003340,0.447
Huesken_A194,NM_003340,0.661
Huesken_A195,NM_003340,0.95
Huesken_A196,NM_003340,0.883
Huesken_A197,NM_003340,0.937
Huesken_A198,NM_003340,0.329
Huesken_A199,NM_003340,0.5
Huesken_A200,NM_003340,1.0
Huesken_A201,NM_003340,1.0
Huesken_A202,NM_003340,0.878
Huesken_A203,NM_003337,0.765
Huesken_A204,NM_003337,0.616
Huesken_A205,NM_003337,0.492
Huesken_A206,NM_003337,0.778
Huesken_A207,NM_003337,0.827
Huesken_A208,NM_003337,0.463
Huesken_A209,NM_003337,0.787
Huesken_A210,NM_003337,0.836
Huesken_A211,NM_003337,0.735
Huesken_A212,NM_003337,0.842
Huesken_A213,NM_003337,0.84
Huesken_A214,NM_003337,0.804
Huesken_A215,NM_003337,0.838
